School,Zip Code,Grades,Local District,Board District,complete_address,lat,long,arrest_0.5_mile,arrest_1_mile
24th Street Elementary,90018,K- 4,C,1-Dr George J McKenna III,2055 W 24th St Los Angeles CA 90018,34.035011700000005,-118.3107152,36,75
Eagle Rock Elementary,90041,K- 6,C,5-Vacant,2057 Fair Park Ave Los Angeles CA 90041,34.136413899999994,-118.21314220000001,2,7
South Shores Elementary Performing Arts Magnet,90732,K- 5,S,7-Dr Richard A Vladovic,2060 W 35th St San Pedro CA 90732,33.7224647,-118.3219747,1,1
Sunny Brae Avenue Elementary,91306,K- 5,NW,3-Scott M Schmerelson,20620 Arminta St Winnetka CA 91306,34.21331,-118.582692,4,33
KIPP Promesa Preparatory,90063,K- 1,XR,2-Monica Garcia,207 S Dacotah St Los Angeles CA 90063,34.03760949999999,-118.20181090000001,9,34
Alliance Collins Family College Ready High School,90255,9-12,XR,5-Vacant,2071 Saturn Ave Huntington Park CA 90255,33.9775179,-118.23411409999999,0,2
Germain Academy for Academic Achievement,91311,K- 5,NW,3-Scott M Schmerelson,20730 Germain St Chatsworth CA 91311,34.2618776,-118.58463090000001,3,5
Aspire Centennial College Preparatory Academy,90255,6- 7,XR,5-Vacant,2079 Saturn Ave Huntington Park CA 90255,33.9774403,-118.2338801,0,1
Woodland Hills Academy,91367,6- 8,NW,4-Nick Melvoin,20800 Burbank Blvd Woodland Hills CA 91367,34.170387,-118.58674599999999,0,13
156th Street Elementary,90249,K- 6,S,7-Dr Richard A Vladovic,2100 W 156th St Gardena CA 90249,33.88894459999999,-118.3168838,0,0
Multnomah Street Elementary Gifted Magnet,90032,2- 5,E,2-Monica Garcia,2101 N Indiana Ave Los Angeles CA 90032,34.0686034,-118.1933102,0,9
Hart Street Elementary,91303,K- 5,NW,3-Scott M Schmerelson,21040 Hart St Canoga Park CA 91303,34.19663,-118.59169299999999,13,39
William Tell Aggeler Opportunity High School,91311,7-12,NW,3-Scott M Schmerelson,21050 Plummer St Chatsworth CA 91311,34.2424216,-118.59244170000001,1,6
Alliance College Ready Middle Academy #5,90031,6- 8,XR,2-Monica Garcia,211 S Avenue 20 Los Angeles CA 90031,34.0722263,-118.22040729999999,8,16
74th Street Elementary,90047,K- 5,W,1-Dr George J McKenna III,2112 W 74th St Los Angeles CA 90047,33.97249420000001,-118.31596680000001,5,30
Leland Street Elementary,90731,K- 6,S,7-Dr Richard A Vladovic,2120 S Leland St San Pedro CA 90731,33.724661600000005,-118.30085079999999,3,37
Del Amo Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,21228 Water St Carson CA 90745,33.837708899999996,-118.240205,0,0
Dominguez Elementary,90810,K- 5,S,7-Dr Richard A Vladovic,21250 Santa Fe Ave Carson CA 90810,33.835943,-118.2145868,0,0
New Academy Canoga Park,91303,K- 5,XR,3-Scott M Schmerelson,21425 Cohasset St Canoga Park CA 91303,34.2070675,-118.59823440000001,7,31
Commonwealth Avenue Elementary Gifted Arts/Tech Magnet,90004,2- 5,C,2-Monica Garcia,215 S Commonwealth Ave Los Angeles CA 90004,34.070664,-118.28593500000001,15,88
Clifford Street Math & Technology Magnet,90039,K- 6,C,5-Vacant,2150 Duane St Los Angeles CA 90039,34.0893198,-118.25815870000001,5,11
Halldale Elementary,90501,K- 5,S,7-Dr Richard A Vladovic,21514 Halldale Ave Torrance CA 90501,33.8329686,-118.3013075,2,10
Andrew Carnegie Middle School,90745,6- 8,S,7-Dr Richard A Vladovic,21820 Bonita St Carson CA 90745,33.83015779999999,-118.258601,0,0
Bonita Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,21929 Bonita St Carson CA 90745,33.8282352,-118.25988000000001,0,0
Cahuenga Elementary,90004,K- 5,C,2-Monica Garcia,220 S Hobart Blvd Los Angeles CA 90004,34.070565,-118.3052203,35,84
Chatsworth Park Elementary,91311,K- 5,NW,3-Scott M Schmerelson,22005 Devonshire St Chatsworth CA 91311,34.257548799999995,-118.6063781,1,1
New Heights Charter School,90008,K- 8,XR,1-Dr George J McKenna III,2202 W Ml King Jr Blvd Los Angeles CA 90008,34.010639399999995,-118.31767930000001,9,42
Topanga Elementary Charter School,90290,K- 5,W,4-Nick Melvoin,22075 Topanga School Rd Topanga CA 90290,34.092144899999994,-118.6039338,0,0
Central City Value School,90004,9-12,XR,2-Monica Garcia,221 N Westmoreland Ave Los Angeles CA 90004,34.075094,-118.28861699999999,15,63
City of Angels Independent Studies,90063,K-12,XS,2-Monica Garcia,221 S Eastman Ave Los Angeles CA 90063,34.0339047,-118.1859983,0,3
Allesandro Elementary,90039,K- 5,C,5-Vacant,2210 Riverside Dr Los Angeles CA 90039,34.1019317,-118.25187109999999,5,10
William J Johnston Community Day School,90731,7-12,S,7-Dr Richard A Vladovic,2210 Taper Ave San Pedro CA 90731,33.76537630000001,-118.29940459999999,0,5
Stephen M White Middle School,90745,6- 8,S,7-Dr Richard A Vladovic,22102 S Figueroa St Carson CA 90745,33.8262917,-118.2855761,0,3
Lomita Elementary Math/Science/Technology Magnet,90717,K- 5,S,7-Dr Richard A Vladovic,2211 247th St Lomita CA 90717,33.8009926,-118.3204304,0,2
Glassell Park Elementary,90065,K- 5,C,5-Vacant,2211 W Avenue 30 Los Angeles CA 90065,34.1045093,-118.23663359999999,6,17
Nevada Avenue Elementary,91304,K- 5,NW,3-Scott M Schmerelson,22120 Chase St West Hills CA 91304,34.2238057,-118.6074703,9,17
Woodland Hills Charter Elementary for Enriched Studies,91364,K- 5,NW,4-Nick Melvoin,22201 San Miguel St Woodland Hills CA 91364,34.1590551,-118.6103884,2,4
Mark Twain Middle School,90066,6- 8,W,4-Nick Melvoin,2224 Walgrove Ave Los Angeles CA 90066,33.9998229,-118.4480037,7,29
Dorris Place Elementary,90031,K- 6,C,5-Vacant,2225 Dorris Pl Los Angeles CA 90031,34.09127,-118.238638,0,7
Christopher Columbus Middle School,91304,6- 8,NW,3-Scott M Schmerelson,22250 Elkwood St Canoga Park CA 91304,34.211755,-118.6111062,2,18
Extera Public School,90033,K- 5,XR,2-Monica Garcia,2226 E 3rd St Los Angeles CA 90033,34.04262,-118.21301899999999,12,31
Carson Senior High - Academy of Education and Empowerment,90745,9-12,S,7-Dr Richard A Vladovic,22328 S Main St Carson CA 90745,33.82380429999999,-118.2755152,0,0
Caroldale Learning Community,90745,K- 8,S,7-Dr Richard A Vladovic,22424 Caroldale Ave Carson CA 90745,33.8225625,-118.28349540000002,0,3
Charles H Kim Elementary School,90004,K- 5,C,2-Monica Garcia,225 S Oxford Ave Los Angeles CA 90004,34.070277000000004,-118.3082491,26,80
Dolores Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,22526 Dolores St Carson CA 90745,33.8214287,-118.2720078,0,0
Hamlin Charter Academy,91307,K- 5,NW,3-Scott M Schmerelson,22627 Hamlin St West Hills CA 91307,34.189828999999996,-118.619992,4,16
Eagle Tree Continuation High,90745,9-12,S,7-Dr Richard A Vladovic,22628 S Main St Carson CA 90745,33.8214408,-118.27522920000001,0,0
Animo College Preparatory Academy,90002,9-12,XR,7-Dr Richard A Vladovic,2265 E 103rd St Los Angeles CA 90002,33.9449522,-118.22972800000001,17,48
Enadia Way Technology Charter,91307,K- 5,NW,3-Scott M Schmerelson,22944 Enadia Way West Hills CA 91307,34.19962279999999,-118.6269733,0,8
MacArthur Park Elementary Visual and Performing Arts DL Spa,90057,K- 5,C,2-Monica Garcia,2300 W 7th St Los Angeles CA 90057,34.057542600000005,-118.2795295,54,95
Joseph Pomeroy Widney Career Preparatory & Transition Center,90018,11-12,C,1-Dr George J McKenna III,2302 S Gramercy Pl Los Angeles CA 90018,34.0358401,-118.31297509999999,34,76
New Designs,90007,6-12,XR,2-Monica Garcia,2303 Figueroa Way Los Angeles CA 90007,34.0308099,-118.27517720000002,11,69
Calabash Charter Academy,91364,K- 5,NW,4-Nick Melvoin,23055 Eugene St Woodland Hills CA 91364,34.158581,-118.62949099999999,0,1
Ramona Opportunity High School,90063,7-12,E,2-Monica Garcia,231 S Alma Ave Los Angeles CA 90063,34.03403529999999,-118.19113020000002,0,16
Woodlake Elementary Community Charter,91367,K- 5,NW,3-Scott M Schmerelson,23231 Hatteras St Woodland Hills CA 91367,34.176305,-118.63338999999999,0,9
232nd Place Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,23240 Archibald Ave Carson CA 90745,33.814467,-118.282311,0,0
Frank Lanterman High School,90007,9-11,C,2-Monica Garcia,2328 St James Pl Los Angeles CA 90007,34.0319824,-118.27843100000001,7,63
Justice Street Academy Charter,91304,K- 5,NW,3-Scott M Schmerelson,23350 Justice St West Hills CA 91304,34.2155285,-118.63571940000001,0,2
Samuel Gompers Middle School,90061,6- 8,S,7-Dr Richard A Vladovic,234 E 112th St Los Angeles CA 90061,33.9319959,-118.27365220000002,27,68
Los Angeles Leadership Academy Charter School,90031,6-12,XR,2-Monica Garcia,234 E Avenue 33 Los Angeles CA 90031,34.0831975,-118.2105834,5,21
Welby Way Charter Elementary and Gifted-High Ability Magnet,91307,K- 5,NW,3-Scott M Schmerelson,23456 Welby Way West Hills CA 91307,34.191624,-118.637774,3,4
Catskill Avenue Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,23536 Catskill Ave Carson CA 90745,33.8116,-118.27079740000002,0,0
Vernon City Elementary,90058,K- 6,E,5-Vacant,2360 E Vernon Ave Los Angeles CA 90058,34.0035091,-118.23123580000001,0,7
George Ellery Hale Charter Academy,91367,6- 8,NW,3-Scott M Schmerelson,23830 Califa St Woodland Hills CA 91367,34.1772223,-118.64553049999999,3,6
Charles White Elementary School,90057,1- 5,C,2-Monica Garcia,2401 Wilshire Blvd Los Angeles CA 90057,34.0603794,-118.27975249999999,50,100
Academia Moderna,90255,K- 5,XR,5-Vacant,2410 Broadway Walnut Park CA 90255,33.9665903,-118.22972800000001,0,0
Middleton Street Primary Center,90255,K- 1,E,5-Vacant,2410 Zoe Ave Huntington Park CA 90255,33.9789059,-118.2291798,0,1
Marvin Elementary,90016,K- 5,W,1-Dr George J McKenna III,2411 Marvin Ave Los Angeles CA 90016,34.035593,-118.36431699999999,5,22
Mayberry Street Elementary,90026,K- 6,C,5-Vacant,2414 Mayberry St Los Angeles CA 90026,34.084211200000006,-118.26495049999998,8,17
Roscomare Road Elementary,90077,K- 5,W,4-Nick Melvoin,2425 Roscomare Rd Los Angeles CA 90077,34.119631700000006,-118.4639791,0,0
Nathaniel Narbonne Senior High,90710,9-12,S,7-Dr Richard A Vladovic,24300 S Western Ave Harbor City CA 90710,33.803684499999996,-118.30651189999999,3,9
Shenandoah Street Elementary,90034,K- 5,W,1-Dr George J McKenna III,2450 Shenandoah St Los Angeles CA 90034,34.038507,-118.384125,11,22
George S Patton Continuation High,90710,9-12,S,7-Dr Richard A Vladovic,24514 S Western Ave Harbor City CA 90710,33.802124,-118.307244,3,10
Leo Politi Elementary,90006,K- 5,C,2-Monica Garcia,2481 W 11th St Los Angeles CA 90006,34.050999,-118.286892,19,98
Broad Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,24815 Broad Ave Wilmington CA 90744,33.801478,-118.262795,0,2
Port of Los Angeles High School,90731,9-12,XR,7-Dr Richard A Vladovic,250 W 5th St San Pedro CA 90731,33.740444200000006,-118.28258190000001,28,81
Pueblo De Los Angeles Continuation High,90031,9-12,E,2-Monica Garcia,2506 Alta St Los Angeles CA 90031,34.07603710000001,-118.20382079999999,5,12
Hollenbeck Middle School,90023,6- 8,E,2-Monica Garcia,2510 E 6th St Los Angeles CA 90023,34.036739000000004,-118.2125554,15,39
Alexander Fleming Middle School,90717,6- 8,S,7-Dr Richard A Vladovic,25425 Walnut St Lomita CA 90717,33.7923726,-118.31382260000001,0,12
Utah Street Elementary,90033,K- 8,E,2-Monica Garcia,255 Gabriel Garcia Marquez St Los Angeles CA 90033,34.048499,-118.22471399999999,3,23
Boyle Heights Science Tech Engin Math High School,90023,9-12,E,2-Monica Garcia,2550 E 6th St Los Angeles CA 90023,34.0368456,-118.2098906,18,45
Renaissance Arts Academy,90065,6-12,XR,5-Vacant,2558 N San Fernando Rd Los Angeles CA 90065,34.1080318,-118.2417895,5,28
Southeast Middle School DREAMS Magnet,90280,6- 8,E,5-Vacant,2560 Tweedy Blvd South Gate CA 90280,33.9458132,-118.22497630000001,4,25
Aspire Pacific Academy,90255,10-12,XR,5-Vacant,2565 58th St Huntington Park CA 90255,33.990414799999996,-118.2260729,0,5
Eshelman Avenue Elementary,90717,K- 5,S,7-Dr Richard A Vladovic,25902 Eshelman Ave Lomita CA 90717,33.7878624,-118.3142772,0,8
Dolores Huerta Elementary School,90011,K- 5,C,2-Monica Garcia,260 E 31st St Los Angeles CA 90011,34.0191593,-118.2684527,13,48
Cienega Elementary,90016,K- 5,W,1-Dr George J McKenna III,2611 S Orange Dr Los Angeles CA 90016,34.031958,-118.35370209999999,7,26
Angeles Mesa Elementary,90043,K- 5,W,1-Dr George J McKenna III,2611 W 52nd St Los Angeles CA 90043,33.9956571,-118.32213159999999,10,53
Metro Charter School,90031,K- 4,XR,2-Monica Garcia,2635 Pasadena Ave Los Angeles CA 90031,34.078001,-118.215701,6,20
Stella Middle Charter Academy,90016,5- 8,XR,1-Dr George J McKenna III,2636 S Mansfield Ave Los Angeles CA 90016,34.031560299999995,-118.35235870000001,7,27
Walnut Park Elementary Dual Language Spanish,90255,K- 1,E,5-Vacant,2642 E Olive St Huntington Park CA 90255,33.96761559999999,-118.2238341,0,0
Pacific Boulevard School,90255,K- 5,E,5-Vacant,2660 E 57th St Huntington Pk CA 90255,33.9908456,-118.223697,0,1
Farmdale Elementary,90032,K- 5,E,2-Monica Garcia,2660 Ruth Swiggett Dr Los Angeles CA 90032,34.0778922,-118.17978290000002,4,13
Prepa Tec Los Angeles,90255,6- 7,XR,5-Vacant,2665 Clarendon Ave Huntington Park CA 90255,33.983729,-118.2234,0,0
Los Angeles Leadership Primary Academy,90031,K- 3,XR,2-Monica Garcia,2670 Griffin Ave Los Angeles CA 90031,34.0785674,-118.21149720000001,6,19
Simon Rodia Continuation High,90280,9-12,E,5-Vacant,2701 Sequoia Dr South Gate CA 90280,33.942448999999996,-118.22319440000001,2,30
Los Feliz Charter School for the Arts,90065,K- 6,XR,5-Vacant,2709 E Media Center Dr Los Angeles CA 90065,34.1107058,-118.2452582,7,28
South East Senior High,90280,9-12,E,5-Vacant,2720 Tweedy Blvd South Gate CA 90280,33.945405900000004,-118.2219414,0,17
Equitas Academy 2,90005,5- 5,XR,2-Monica Garcia,2723 W 8th St Los Angeles CA 90005,34.058063,-118.28491129999999,42,101
Hoover Street Elementary,90005,K- 5,C,2-Monica Garcia,2726 Francis Ave Los Angeles CA 90005,34.0565545,-118.28582469999999,44,97
Liberty Boulevard Elementary,90280,K- 5,E,5-Vacant,2728 Liberty Blvd South Gate CA 90280,33.961315899999995,-118.22209779999999,0,0
Evergreen Avenue Elementary,90033,K- 6,E,2-Monica Garcia,2730 Ganahl St Los Angeles CA 90033,34.0522869,-118.197423,4,18
Carmen Lomas Garza Primary Center,90023,K- 2,E,2-Monica Garcia,2750 E Hostetter St Los Angeles CA 90023,34.024462299999996,-118.21816840000001,12,59
Willow Elementary,90280,K- 5,E,5-Vacant,2777 Willow Pl South Gate CA 90280,33.9552914,-118.2220261,0,5
Rudecinda Sepulveda Dodson Middle School,90275,6- 8,S,7-Dr Richard A Vladovic,28014 Montereina Dr Rancho Palos Verdes CA 90275,33.766016,-118.315592,0,0
28th Street Elementary,90011,K- 5,C,2-Monica Garcia,2807 Stanford Ave Los Angeles CA 90011,34.01854829999999,-118.2612048,16,48
KIPP Los Angeles College Preparatory,90023,5- 8,XR,2-Monica Garcia,2810 Whittier Blvd Los Angeles CA 90023,34.0312389,-118.209441,12,42
1st Street Elementary,90033,K- 6,E,2-Monica Garcia,2820 E First St Los Angeles CA 90033,34.040862,-118.20456979999999,12,34
Sunrise Elementary,90023,K- 6,E,2-Monica Garcia,2821 E 7th St Los Angeles CA 90023,34.029607,-118.2102864,13,51
Ivanhoe Elementary,90039,K- 5,C,5-Vacant,2828 Herkimer St Los Angeles CA 90039,34.1087883,-118.2668919,0,11
Stanford Avenue Elementary,90280,1- 5,E,5-Vacant,2833 Illinois Ave South Gate CA 90280,33.9510783,-118.2217736,0,17
El Sereno Middle School Gifted Magnet,90032,6- 8,E,2-Monica Garcia,2839 N Eastern Ave Los Angeles CA 90032,34.0799751,-118.17841010000001,3,15
Henry T Gage Middle School,90255,6- 8,E,5-Vacant,2880 E Gage Ave Huntington Park CA 90255,33.9809755,-118.2175706,0,0
Vista Charter Middle School,90026,6- 8,XR,2-Monica Garcia,2900 W Temple St Los Angeles CA 90026,34.0738866,-118.2787451,9,50
San Antonio Continuation High,90255,9-12,E,5-Vacant,2911 Belgrave Ave Huntington Park CA 90255,33.987588200000005,-118.21719109999998,0,0
Virginia Road Elementary,90016,K- 5,W,1-Dr George J McKenna III,2925 Virginia Rd Los Angeles CA 90016,34.028156700000004,-118.3397646,6,25
Alliance Leichtman-Levine FFES High,90065,9-12,XR,5-Vacant,2930 Fletcher Dr Los Angeles CA 90065,34.1138929,-118.24667779999999,12,28
Alliance Renee & Meyer Luskin Academy High School,90043,9-12,XR,1-Dr George J McKenna III,2941 W 70th St Los Angeles CA 90043,33.9766229,-118.3258838,16,36
Alexander Hamilton Senior High,90034,9-12,W,1-Dr George J McKenna III,2955 S Robertson Blvd Los Angeles CA 90034,34.034135,-118.39161499999999,6,14
Dr Maya Angelou Community Senior High,90011,9-12,C,7-Dr Richard A Vladovic,300 E 53rd St Los Angeles CA 90011,33.994039799999996,-118.2679653,18,70
Orthopaedic Hospital Senior High Medical Magnet,90007,9-12,C,2-Monica Garcia,300 W 23rd St Los Angeles CA 90007,34.0288436,-118.27121090000001,18,69
Washington Irving Middle School Math Music Engineering Mag,90065,6- 8,C,5-Vacant,3010 Estara Ave Los Angeles CA 90065,34.1157592,-118.2411035,18,30
Stanford Avenue Primary Center,90280,K- K,E,5-Vacant,3020 Kansas Ave South Gate CA 90280,33.9484035,-118.21762009999999,0,5
John W Mack Elementary,90007,K- 5,C,1-Dr George J McKenna III,3020 S Catalina St Los Angeles CA 90007,34.0264362,-118.2934521,10,44
Rise Kohyang Middle,90010,6- 7,XR,2-Monica Garcia,3020 Wilshire Blvd Ste 250 Los Angeles CA 90010,34.061105600000005,-118.28746899999999,35,113
Whitney Young Continuation High,90043,9-12,W,1-Dr George J McKenna III,3051 W 52nd St Los Angeles CA 90043,33.995160999999996,-118.32612490000001,13,48
Ernest P Willenberg Special Education Center,90732,6-12,S,7-Dr Richard A Vladovic,308 Weymouth Ave San Pedro CA 90732,33.739548299999996,-118.3091753,3,28
Gratts Learning Academy for Young Scholars (GLAYS),90017,2- 6,C,2-Monica Garcia,309 Lucas Ave Los Angeles CA 90017,34.0583375,-118.2624838,5,83
Lafayette Park Primary Center,90057,K- K,C,2-Monica Garcia,310 S La Fayette Park Pl Los Angeles CA 90057,34.0664029,-118.28059499999999,17,95
Watts Learning Center School,90003,K- 5,XR,7-Dr Richard A Vladovic,310 W 95th St Los Angeles CA 90003,33.94981729999999,-118.2788314,23,94
6th Avenue Elementary,90018,K- 5,W,1-Dr George J McKenna III,3109 6th Ave Los Angeles CA 90018,34.02663,-118.324179,7,23
Belvedere Middle School,90063,6- 8,E,2-Monica Garcia,312 N Record Ave Los Angeles CA 90063,34.039318,-118.180466,0,0
Young Empowered Scholars Academy,90043,K- 5,W,1-Dr George J McKenna III,3140 Hyde Park Blvd Los Angeles CA 90043,33.980510200000005,-118.3278787,15,37
Mid-City's Prescott School of Enriched Sciences,90018,1- 5,W,1-Dr George J McKenna III,3150 W Adams Blvd Los Angeles CA 90018,34.0326395,-118.31831229999999,7,58
Garvanza Elementary Technology/Leadership Magnet,90042,K- 5,C,5-Vacant,317 N Avenue 62 Los Angeles CA 90042,34.11787329999999,-118.182525,3,10
Sierra Park Elementary,90032,K- 6,E,2-Monica Garcia,3170 Budau Ave Los Angeles CA 90032,34.082312200000004,-118.1690883,8,14
Ambler Avenue Elementary Gifted Magnet,90746,1- 5,S,7-Dr Richard A Vladovic,319 E Sherman Dr Carson CA 90746,33.877738,-118.27150049999999,0,1
Ednovate- Esperanza College Prep,90022,9- 9,XR,2-Monica Garcia,319 N Humphreys Ave Los Angeles CA 90022,34.038931,-118.17147659999998,0,0
Malabar Street Elementary,90063,K- 6,E,2-Monica Garcia,3200 E Malabar St Los Angeles CA 90063,34.044251,-118.1943156,1,18
Math and Science College Preparatory,90018,9- 9,XR,1-Dr George J McKenna III,3200 W Adams Blvd Los Angeles CA 90018,34.0319097,-118.3189807,6,57
Carson-Gore Academy of Environmental Studies,90018,K- 5,W,1-Dr George J McKenna III,3200 W Washington Blvd Los Angeles CA 90018,34.0394287,-118.31930039999999,23,67
RFK Comm Schls - Ambassador School - Global Education DL Kor,90005,K- 5,C,2-Monica Garcia,3201 W 8th St Los Angeles CA 90005,34.05828579999999,-118.29741240000001,20,102
San Pedro Senior High Marine Science/Tech/Math Magnet,90731,9-12,S,7-Dr Richard A Vladovic,3210 S Alma St San Pedro CA 90731,33.7165066,-118.29859740000002,1,15
State Street Elementary,90280,K- 5,E,5-Vacant,3211 Santa Ana St South Gate CA 90280,33.963896000000005,-118.21206200000002,0,0
Miguel Contreras Learning Complex - Acdemic Ldrshp Community,90017,9-12,C,2-Monica Garcia,322 Lucas Ave Los Angeles CA 90017,34.0577989,-118.26111340000001,5,94
Albion Street Elementary,90031,K- 6,E,2-Monica Garcia,322 S Avenue 18 Los Angeles CA 90031,34.0691474,-118.22047579999999,5,14
Lucille Roybal-Allard Elementary,90255,K- 6,E,5-Vacant,3232 Saturn Ave Huntington Park CA 90255,33.9758816,-118.2098261,0,0
Alain Leroy Locke College Preparatory Academy,90061,9-12,XR,7-Dr Richard A Vladovic,325 E 111th St Los Angeles CA 90061,33.935105,-118.26865049999999,28,75
Atwater Avenue Elementary,90039,K- 6,C,5-Vacant,3271 Silver Lake Blvd Los Angeles CA 90039,34.115704,-118.254944,9,31
93rd Street Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,330 E 93rd St Los Angeles CA 90003,33.951096,-118.268202,19,103
Harvard Elementary,90004,K- 5,W,2-Monica Garcia,330 N Harvard Blvd Los Angeles CA 90004,34.0772018,-118.3042303,24,109
Florence Nightingale Middle School Gifted STEM Magnet,90065,6- 8,E,5-Vacant,3311 N Figueroa St Los Angeles CA 90065,34.08773100000001,-118.219127,3,20
Victoria Avenue Elementary,90280,K- 5,E,5-Vacant,3320 Missouri Ave South Gate CA 90280,33.946425899999994,-118.21090320000002,0,0
93rd Street Elementary STEAM Magnet,90003,1- 5,S,7-Dr Richard A Vladovic,333 E 93rd St Los Angeles CA 90003,33.9522205,-118.2683597,19,89
Mar Vista Elementary,90066,K- 5,W,4-Nick Melvoin,3330 Granville Ave Los Angeles CA 90066,34.016106799999996,-118.4344252,1,6
Point Fermin Elementary Marine Science Magnet,90731,K- 5,S,7-Dr Richard A Vladovic,3333 Kerckhoff Ave San Pedro CA 90731,33.7139196,-118.29043770000001,3,13
Gates Street Elementary,90031,K- 5,E,2-Monica Garcia,3333 Manitou Ave Los Angeles CA 90031,34.073434999999996,-118.205937,3,16
Fletcher Drive Elementary,90065,K- 5,C,5-Vacant,3350 Fletcher Dr Los Angeles CA 90065,34.1174878,-118.2396422,13,29
South Gate Senior High,90280,9-12,E,5-Vacant,3351 Firestone Blvd South Gate CA 90280,33.9560708,-118.2093189,0,0
Camino Nuevo Charter Academy #2,90020,K- 8,XR,2-Monica Garcia,3400 W 3rd St Los Angeles CA 90020,34.0685541,-118.28888490000001,13,93
Loreto Street Elementary,90065,K- 5,E,5-Vacant,3408 Arroyo Seco Ave Los Angeles CA 90065,34.086726299999995,-118.21634070000002,3,20
Glen Alta Elementary,90031,K- 8,E,2-Monica Garcia,3410 Sierra St Los Angeles CA 90031,34.0851497,-118.19952509999999,3,8
ISANA Nascent Academy,90018,K- 8,XR,1-Dr George J McKenna III,3417 W Jefferson Blvd Los Angeles CA 90018,34.025868200000005,-118.33334340000002,4,22
Ednovate-East College Prep,90071,9- 9,XR,2-Monica Garcia,350 S Figueroa St Los Angeles CA 90071,34.053717999999996,-118.25500159999999,37,208
Animo Jackie Robinson,90007,9-12,XR,2-Monica Garcia,3500 S Hill St Los Angeles CA 90007,34.0172594,-118.27536509999999,13,47
Camino Nuevo High School #2,90004,9-12,XR,2-Monica Garcia,3500 W Temple St Los Angeles CA 90004,34.0764139,-118.2858476,13,49
Lincoln ESP Magnet,90031,9-12,E,2-Monica Garcia,3501 N Broadway Los Angeles CA 90031,34.074706799999994,-118.2040366,6,14
Palms Elementary,90034,K- 5,W,1-Dr George J McKenna III,3520 Motor Ave Los Angeles CA 90034,34.0263501,-118.4079582,8,10
Harrison Street Elementary,90063,K- 6,E,2-Monica Garcia,3529 City Terrace Dr Los Angeles CA 90063,34.0537888,-118.18896880000001,1,6
Susan Miller Dorsey Senior High Law/Public Srv/Pol Srv Mag,90016,9-12,W,1-Dr George J McKenna III,3537 Farmdale Ave Los Angeles CA 90016,34.0228135,-118.3463895,2,19
Dr Sammy Lee Elementary Medical and Health Science Magnet,90004,K- 5,C,2-Monica Garcia,3600 Council St Los Angeles CA 90004,34.074275,-118.28856509999999,15,66
Maple Primary Center,90011,K- 1,C,2-Monica Garcia,3601 S Maple Ave Los Angeles CA 90011,34.015479,-118.27073,14,46
Angel's Gate Continuation High,90731,9-12,S,7-Dr Richard A Vladovic,3607 S Gaffey St San Pedro CA 90731,33.7114309,-118.29295,2,7
Loma Vista Elementary,90270,K- 5,E,5-Vacant,3629 E 58th St Maywood CA 90270,33.989823,-118.1996165,0,0
Beethoven Street Elementary,90066,K- 5,W,4-Nick Melvoin,3711 Beethoven St Los Angeles CA 90066,34.002043900000004,-118.44327820000001,3,19
Belvedere Elementary,90063,K- 5,E,2-Monica Garcia,3724 E First St Los Angeles CA 90063,34.035758799999996,-118.18627250000002,0,3
Gabriella Charter 2,90011,K- 2,XR,2-Monica Garcia,3736 Trinity St Los Angeles CA 90011,34.012117100000005,-118.26933570000001,16,56
Dr Theodore T Alexander Jr Science Center School,90007,K- 5,C,1-Dr George J McKenna III,3737 S Figueroa St Los Angeles CA 90007,34.0170902,-118.2839064,10,52
Foshay Learning Center,90018,K-12,C,1-Dr George J McKenna III,3751 S Harvard Blvd Los Angeles CA 90018,34.0192234,-118.306525,10,53
Magnolia Science Academy #6,90034,6- 8,XR,1-Dr George J McKenna III,3754 Dunn Dr Los Angeles CA 90034,34.0240419,-118.4001763,3,10
New Academy of Science & Arts,90017,K- 5,XR,2-Monica Garcia,379 S Loma Dr Los Angeles CA 90017,34.059301700000006,-118.2669604,15,72
Corona Avenue Elementary,90201,1- 5,E,5-Vacant,3825 Bell Ave Bell CA 90201,33.9757126,-118.1976287,0,0
PUC Santa Rosa Charter Academy,90065,7- 8,XR,5-Vacant,3838 Eagle Rock Blvd Los Angeles CA 90065,34.1185977,-118.23061899999999,10,22
El Sereno Elementary,90032,K- 6,E,5-Vacant,3838 Rosemead Ave Los Angeles CA 90032,34.090007,-118.175956,5,9
Thomas Bradley Global Awareness Magnet,90008,K- 5,W,1-Dr George J McKenna III,3875 Dublin Ave Los Angeles CA 90008,34.015156299999994,-118.3225882,4,43
Carpenter Community Charter,91604,K- 5,NE,3-Scott M Schmerelson,3909 Carpenter Ave Studio City CA 91604,34.1411016,-118.392257,0,2
Accelerated Charter Elementary,90037,K- 6,XR,2-Monica Garcia,3914 S Main St Los Angeles CA 90037,34.011432,-118.27368500000001,19,50
